actual,proposed
2.63159528544e-07,0.0
2.62908515584e-07,0.0
2.62882140224e-07,0.0
2.62882140224e-07,0.0
2.631031568e-07,0.0
2.63085096384e-07,0.0
2.59862966176e-07,0.0
2.59862966176e-07,0.0
2.6923788672e-07,0.0
2.6581592963199996e-07,0.0
2.6581592963199996e-07,0.0
2.6296587081599997e-07,0.0
2.59744947616e-07,0.0
2.59744947616e-07,0.0
2.6912500912e-07,0.0
2.69553318144e-07,0.0
2.69553318144e-07,0.0
2.69310843648e-07,0.0
2.69285094144e-07,0.0
2.69285094144e-07,0.0
2.6949824281600004e-07,0.0
2.69482462304e-07,0.0
2.62997074208e-07,0.0
2.62997074208e-07,0.0
2.60968719616e-07,0.0
2.59776419232e-07,0.0
2.6936457785599996e-07,0.0
2.6936457785599996e-07,0.0
2.65728086272e-07,0.0
2.62879502688e-07,0.0
2.5965469024e-07,0.0
2.5965469024e-07,0.0
2.6903627168e-07,0.0
2.6946364191999997e-07,0.0
2.6946364191999997e-07,0.0
2.65826032736e-07,0.0
2.6094654643199997e-07,0.0
2.6094654643199997e-07,0.0
2.59755229536e-07,0.0
2.6934598099200003e-07,0.0
2.6934598099200003e-07,0.0
2.6956064960000003e-07,0.0
2.69534900096e-07,0.0
2.69534900096e-07,0.0
2.69518136096e-07,0.0
2.6303185391999996e-07,0.0
2.6303185391999996e-07,0.0
2.61005689824e-07,0.0
2.6918670064000003e-07,0.0
2.6918670064000003e-07,0.0
2.6940431971200003e-07,0.0
2.62914371808e-07,0.0
2.62914371808e-07,0.0
2.6088418435200003e-07,0.0
2.6907203488000003e-07,0.0
2.6907203488000003e-07,0.0
2.69282233088e-07,0.0
2.6586148300799997e-07,0.0
2.6586148300799997e-07,0.0
2.6301365939200003e-07,0.0
2.6098678003200003e-07,0.0
2.6916899785600004e-07,0.0
2.6916899785600004e-07,0.0
2.69382682976e-07,0.0
2.6935496649599997e-07,0.0
2.6935496649599997e-07,0.0
2.6957339023999997e-07,0.0
2.69330066368e-07,0.0
2.69527300416e-07,0.0
2.69527300416e-07,0.0
2.65892999328e-07,0.0
2.61016999936e-07,0.0
2.61016999936e-07,0.0
2.5982121264e-07,0.0
2.6940950537599997e-07,0.0
2.6940950537599997e-07,0.0
2.65772030304e-07,0.0
2.60894645088e-07,0.0
2.60894645088e-07,0.0
2.59705965728e-07,0.0
2.69083032064e-07,0.0
2.69510447008e-07,0.0
2.69510447008e-07,0.0
2.69270610048e-07,0.0
2.6946534067199997e-07,0.0
2.6946534067199997e-07,0.0
2.65831754848e-07,0.0
